# epoch,lat,lon,fix,sats,hdop,alt
1766764725.111,46.117836000000004,14.021986799999999,2,50,0.50,835.682
1766764726.107,46.117835799999995,14.0219863,2,49,0.50,835.664
1766764727.110,46.1178363,14.021985500000001,2,50,0.50,835.634
1766764728.109,46.117836100000005,14.021983699999998,2,50,0.51,835.633
1766764729.110,46.117836000000004,14.021982400000002,2,50,0.50,835.670
1766764730.105,46.117836100000005,14.021981000000002,2,50,0.49,835.667
1766764731.109,46.117837200000004,14.0219802,2,50,0.49,835.637
1766764732.110,46.1178377,14.0219799,2,50,0.49,835.586
1766764733.106,46.11783739999999,14.021979299999998,2,50,0.49,835.538
1766764734.105,46.117837300000005,14.0219791,2,50,0.49,835.487
1766764735.107,46.117837099999996,14.0219787,2,50,0.49,835.464
1766764736.104,46.1178384,14.021976500000001,2,50,0.49,835.440
1766764737.110,46.117838600000006,14.0219755,2,50,0.49,835.461
1766764738.105,46.117838,14.021974499999999,2,49,0.50,835.472
1766764739.111,46.1178385,14.0219754,2,50,0.49,835.462
1766764740.112,46.1178377,14.021973199999998,2,50,0.50,835.520
1766764741.106,46.11783820000001,14.0219693,2,50,0.50,835.478
1766764742.106,46.117838600000006,14.021965499999999,2,50,0.49,835.668
1766764743.112,46.11784039999999,14.021960000000002,2,50,0.49,836.171
1766764744.106,46.1178409,14.0219558,2,50,0.49,836.495
1766764745.107,46.1178406,14.0219532,2,50,0.49,836.706
1766764746.106,46.117845800000005,14.021949199999998,2,49,0.50,836.952
1766764747.107,46.11784639999999,14.021952500000001,2,50,0.48,837.146
1766764748.108,46.117844500000004,14.0219548,2,50,0.48,837.257
1766764749.107,46.117844600000005,14.0219573,2,50,0.48,836.943
1766764750.108,46.117844299999994,14.021961299999997,2,51,0.47,836.773
1766764751.109,46.11784720000001,14.021956900000001,2,51,0.47,836.694
1766764752.106,46.117848599999995,14.021952199999998,2,51,0.47,836.654
1766764753.108,46.117848699999996,14.021953599999998,2,51,0.47,836.741
1766764754.105,46.11785029999999,14.021952099999998,2,50,0.48,836.725
1766764755.109,46.117853,14.021954999999998,2,51,0.47,836.889
1766764756.104,46.117853399999994,14.021957200000001,2,50,0.48,837.026
1766764757.104,46.1178522,14.0219578,2,50,0.48,836.954
1766764758.109,46.11785110000001,14.021960000000002,2,50,0.48,836.889
1766764759.106,46.11784980000001,14.021960000000002,2,51,0.47,836.848
1766764760.104,46.117848900000006,14.0219624,2,51,0.47,836.828
1766764761.109,46.11784680000001,14.021962199999999,2,50,0.48,836.799
1766764762.104,46.1178465,14.0219635,2,49,0.50,836.775
1766764763.106,46.1178452,14.021967600000002,2,50,0.48,836.773
